"bird chirping, tweeting",999,animals
chicken crowing,991,animals
"pigeon, dove cooing",982,animals
toilet flushing,973,home
orchestra,964,music
playing accordion,956,music
playing acoustic guitar,947,music
playing banjo,939,music
playing bassoon,930,music
playing cymbal,922,music
playing didgeridoo,914,music
playing flute,906,music
"playing marimba, xylophone",898,music
playing piano,890,music
playing saxophone,882,music
playing trombone,874,music
"playing violin, fiddle",866,music
singing bowl,858,music
fireworks banging,851,others
"female speech, woman speaking",843,people
"male speech, man speaking",835,people
people booing,828,people
people crowd,821,people
basketball bounce,813,sports
"motorboat, speedboat acceleration",806,sports
"rowboat, canoe, kayak rowing",799,sports
tap dancing,792,sports
ambulance siren,785,vehicle
chainsawing trees,778,vehicle
driving buses,771,vehicle
driving motorcycle,764,vehicle
"engine accelerating, revving, vroom",757,vehicle
helicopter,750,vehicle
police car (siren),744,vehicle
"race car, auto racing",737,vehicle
"railroad car, train wagon",730,vehicle
playing clarinet,724,music
playing hammond organ,717,music
people burping,711,people
playing squash,705,sports
playing table tennis,698,sports
playing tabla,692,music
playing glockenspiel,686,music
playing harpsichord,680,music
frog croaking,674,animals
vacuum cleaner cleaning floors,668,home
playing theremin,662,music
slot machine,656,others
playing badminton,650,sports
"subway, metro, underground",644,vehicle
beat boxing,638,people
crow cawing,633,animals
playing volleyball,627,sports
playing snare drum,621,music
machine gun shooting,616,others
ocean burbling,610,nature
skiing,605,sports
civil defense siren,600,others
missile launch,594,others
playing erhu,589,music
tractor digging,584,vehicle
bowling impact,578,sports
rope skipping,573,sports
lions roaring,568,animals
scuba diving,563,sports
yodelling,558,people
playing bagpipes,553,music
police radio chatter,548,tools
fire truck siren,543,vehicle
pheasant crowing,538,animals
arc welding,534,tools
playing bongo,529,music
skateboarding,524,sports
playing synthesizer,519,music
"electric shaver, electric razor shaving",515,home
playing ukulele,510,music
cap gun shooting,506,others
people clapping,501,people
playing cornet,497,music
people sniggering,492,people
playing vibraphone,488,music
mynah bird singing,483,animals
people whistling,479,people
horse clip-clop,475,animals
printer printing,471,others
baby laughter,466,people
playing french horn,462,music
playing bass drum,458,music
playing sitar,454,music
lathe spinning,450,others
lawn mowing,446,vehicle
lighting firecrackers,442,others
volcano explosion,438,nature
playing electronic organ,434,music
playing trumpet,430,music
playing harmonica,426,music
playing mandolin,423,music
people marching,419,people
planing timber,415,tools
playing tambourine,411,music
playing double bass,408,music
church bell ringing,404,music
gibbon howling,400,animals
goose honking,397,animals
sharpen knife,393,tools
dog barking,390,animals
"heart sounds, heartbeat",386,people
owl hooting,383,animals
people whispering,379,people
woodpecker pecking tree,376,animals
typing on typewriter,373,others
cattle mooing,369,animals
people screaming,366,people
hail,363,nature
canary calling,360,animals
people cheering,356,people
cricket chirping,353,animals
stream burbling,350,nature
wood thrush calling,347,animals
roller coaster running,344,sports
"ice cream truck, ice cream van",341,vehicle
people shuffling,338,people
mouse clicking,335,others
francolin calling,332,animals
turkey gobbling,329,animals
rapping,326,people
dinosaurs bellowing,323,animals
playing timpani,320,music
using sewing machines,317,others
splashing water,314,others
hammering nails,312,tools
train whistling,309,vehicle
driving snowmobile,306,vehicle
duck quacking,303,animals
lions growling,301,animals
parrot talking,298,animals
sailing,295,sports
cat meowing,293,animals
horse neighing,290,animals
sliding door,287,home
playing timbales,285,music
people babbling,282,people
swimming,280,sports
wind rustling leaves,277,nature
people slurping,275,people
typing on computer keyboard,272,others
ripping paper,270,others
elk bugling,267,animals
playing gong,265,music
playing darts,263,sports
people farting,260,people
"bee, wasp, etc. buzzing",258,animals
playing oboe,256,music
playing zither,253,music
eating with cutlery,251,home
bouncing on trampoline,249,sports
people belly laughing,247,people
sheep bleating,244,animals
waterfall burbling,242,nature
airplane,240,vehicle
playing steelpan,238,music
fire crackling,236,nature
car engine starting,234,vehicle
coyote howling,232,animals
reversing beeps,230,vehicle
people sobbing,228,people
playing guiro,225,music
chimpanzee pant-hooting,223,animals
raining,221,nature
playing congas,219,music
playing tympani,218,music
opening or closing drawers,216,home
people coughing,214,people
black capped chickadee calling,212,animals
pig oinking,210,animals
playing bugle,208,music
"donkey, ass braying",206,animals
mosquito buzzing,204,animals
mouse pattering,202,animals
playing djembe,201,music
magpie calling,199,animals
electric grinder grinding,197,tools
people running,195,people
barn swallow calling,194,animals
underwater bubbling,192,people
firing muskets,190,others
cheetah chirrup,188,animals
playing hockey,187,sports
striking pool,185,sports
people humming,183,people
playing tennis,182,sports
ice cracking,180,others
otter growling,179,animals
"alligators, crocodiles hissing",177,animals
fox barking,175,animals
tornado roaring,174,nature
hair dryer drying,172,home
firing cannon,171,others
alarm clock ringing,169,others
cupboard opening or closing,168,home
striking bowling,166,sports
bull bellowing,165,animals
penguins braying,163,animals
running electric fan,162,others
elephant trumpeting,160,animals
golf driving,159,sports
people battle cry,157,people
snake hissing,156,animals
playing lacrosse,155,sports
writing on blackboard with chalk,153,tools
people giggling,152,people
cutting hair with electric trimmers,151,tools
lip smacking,149,people
warbler chirping,148,animals
plastic bottle crushing,146,others
forging swords,145,tools
chipmunk chirping,144,animals
chopping wood,143,others
popping popcorn,141,others
eagle screaming,140,animals
footsteps on snow,139,people
hedge trimmer running,138,tools
sea waves,136,sports
blowtorch igniting,135,tools
goat bleating,134,animals
air conditioning noise,133,others
ferret dooking,132,animals
strike lighter,130,others
people nose blowing,129,people
people eating,128,people
shot football,127,sports
smoke detector beeping,126,others
people gargling,125,people
cuckoo bird calling,123,animals
foghorn,122,others
eletric blender running,121,tools
chinchilla barking,120,animals
sea lion barking,119,animals
people slapping,118,people
opening or closing car electric windows,117,vehicle
children shouting,116,people
baltimore oriole calling,115,animals
"fly, housefly buzzing",114,animals
bathroom ventilation fan running,113,home
chopping food,112,home
disc scratching,111,music
metronome,110,music
playing shofar,109,music
playing tuning fork,108,music
playing washboard,107,music
cell phone buzzing,106,others
telephone bell ringing,105,others
people finger snapping,104,people
cow lowing,103,animals
zebra braying,102,animals
playing castanets,101,music
pumping water,100,others
